FID,Descriptio,Actual_Fin,Address,Location,X,Y,x2,y2
1,EMERGENCY LEAK,12/18/2022 12:00:00 AM,1315 S. STATE ST SYRACUSE NY,S STATE ST 1300,-8476654.595,5317287.269,-8476654.595,5317287.269
2,EMERGENCY LEAK,12/17/2022 12:00:00 AM,"105 W Fayette St, Syracuse, New York, 13202","105 W Fayette St, Syracuse, New York, 13202",-8477279.836,5319391.24,-8477279.836,5319391.24
3,REPAIR MAIN,12/16/2022 12:00:00 AM,Elmhurst Ave@Hunt Ave Syracuse NY,Elmhurst Ave@Hunt Ave Syracuse NY,-8477617.08561,5315161.19346,-8477617.08561,5315161.19346
4,EMERGENCY LEAK,12/13/2022 12:00:00 AM,"Meadowbrook Dr & Hillsboro Pkwy, Syracuse, New York, 13224","Meadowbrook Dr & Hillsboro Pkwy, Syracuse, New York, 13224",-8470687.466,5318452.808,-8470687.466,5318452.808
5,EMERGENCY LEAK,12/10/2022 12:00:00 AM,"E. Fayette Street @ Croly Street Syracuse,NY",E FAYETTE ST 2100,-8472832.31,5319314.354,-8472832.31,5319314.354
6,EMERGENCY LEAK,12/9/2022 12:00:00 AM,"Brampton Rd & Coldbrook Dr,  Syracuse,  New York,  13205",Leak on Hydrant N/ W Corner,-8475893.785,5310828.086,-8475893.785,5310828.086
7,EMERGENCY LEAK,12/8/2022 12:00:00 AM,"1151 Glenwood Ave, Syracuse, New York, 13207","1151 Glenwood Ave, Syracuse, New York, 13207",-8480282.231,5315662.104,-8480282.231,5315662.104
8,EMERGENCY LEAK,12/6/2022 12:00:00 AM,"829 Northway St,  Syracuse,  New York,  13224",NORTHWAY ST 900,-8470504.887,5320030.215,-8470504.887,5320030.215
9,EMERGENCY LEAK,12/5/2022 12:00:00 AM,1232-36 W Genesee St Syracuse NY,1232-36 W Genesee St Syracuse NY,-8479967.895,5320079.309,-8479967.895,5320079.309
10,EMERGENCY LEAK,12/5/2022 12:00:00 AM,E Fayette St @ Westmoreland Ave Syracuse NY,E FAYETTE ST,-8473054.183,5319318.383,-8473054.183,5319318.383
11,REPLACE MAIN,12/5/2022 12:00:00 AM,308 Hurlburt Rd, ,-8471502.085,5317865.093,-8471502.085,5317865.093
12,REPLACE MAIN,12/5/2022 12:00:00 AM,317 Hurlburt Rd, ,-8471439.989,5317779.44,-8471439.989,5317779.44
13,EMERGENCY LEAK,12/5/2022 12:00:00 AM,"Kirkpatrick St & Basin St, Syracuse, New York, 13208","Kirkpatrick St & Basin St, Syracuse, New York, 13208",-8477860.487,5321566.291,-8477860.487,5321566.291
14,REPLACE MAIN,12/4/2022 12:00:00 AM,311 Hurlburt Rd, ,-8471420.739,5317869.776,-8471420.739,5317869.776
15,REPAIR MAIN,12/4/2022 12:00:00 AM,"218 Magnolia Street Syracuse,NY",#218 Magnolia Street,-8479686.849,5318676.566,-8479686.849,5318676.566
16,EMERGENCY LEAK,12/4/2022 12:00:00 AM,"1001 Hiawatha Blvd E, Syracuse, New York, 13208","1001 Hiawatha Blvd E, Syracuse, New York, 13208",-8477921.262,5324405.225,-8477921.262,5324405.225
17,EMERGENCY LEAK,11/30/2022 12:00:00 AM,139 Alden st Syracuse NY,ALDEN ST 100,-8475089.614,5314882.405,-8475089.614,5314882.405
18,EMERGENCY LEAK,11/28/2022 12:00:00 AM,"221 Fayette Blvd. Syracuse,NY",FAYETTE BLVD 200,-8471292.042,5319463.472,-8471292.042,5319463.472
19,EMERGENCY LEAK,11/28/2022 12:00:00 AM,"Spencer St, Syracuse, New York, 13204",MIDDLE OF INTERSECTION OF SPENCER ST @ N.STATE ST ---LEAK WAS ON THE (6"") MAIN ON THE SPENCER  ST SIDE-- STUB.,-8477590.348,5321288.976,-8477590.348,5321288.976
20,EMERGENCY LEAK,11/28/2022 12:00:00 AM,"1310 Jamesville Ave, Syracuse, New York, 13210","1310 Jamesville Ave, Syracuse, New York, 13210",-8474273.029,5313954.979,-8474273.029,5313954.979
